Title	URL	Assignees	Status	Labels	Created
Swagger routes admin / code sw-04	https://github.com/O-clock-Francfort/cines-delices/issues/159	oriannejaunet	Done	Back, Jeudi, SWAGGER	2026-03-20T18:17:50Z
Tests HTTP back complet / code b-08	https://github.com/O-clock-Francfort/cines-delices/issues/147	oriannejaunet	Done	Back, Jeudi, NEW	2026-03-20T18:06:15Z
Swagger routes TMDB / code sw-05	https://github.com/O-clock-Francfort/cines-delices/issues/160	oriannejaunet	Done	Back, Jeudi, SWAGGER	2026-03-20T18:18:37Z
Swagger routes recettes / code sw-03	https://github.com/O-clock-Francfort/cines-delices/issues/155	oriannejaunet	Done	Back, Jeudi, SWAGGER	2026-03-20T18:13:58Z
Modération recette/ingrédient	https://github.com/O-clock-Francfort/cines-delices/issues/218	oriannejaunet	Done	Back, Jeudi	2026-03-26T08:48:21Z
MemberRecipes.jsx branché API / code f-07	https://github.com/O-clock-Francfort/cines-delices/issues/153	Nathalie-Leduc	Done	CORRECTION, Front, Mercredi	2026-03-20T18:11:51Z
Pages poolitique de confidentialité" et cookies	https://github.com/O-clock-Francfort/cines-delices/issues/215	oriannejaunet	Done	Back, Front, Mercredi	2026-03-25T16:57:06Z
mis een place du multipart pour les img (pas uniquement png mais aussi jpg, jpeg, webp)	https://github.com/O-clock-Francfort/cines-delices/issues/208	oriannejaunet	Done	Back, Mercredi	2026-03-25T13:09:38Z
Refacto général visiteur front css	https://github.com/O-clock-Francfort/cines-delices/issues/205	vincentduverger-dev	Done	Front, Mercredi	2026-03-25T10:29:25Z
Navbar branchée AuthContext / code f-05	https://github.com/O-clock-Francfort/cines-delices/issues/142	Nathalie-Leduc	Done	CORRECTION, Front, Mercredi	2026-03-20T17:49:33Z
