Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Labels	Created
Ajout Modal à l'envoie du message sur la page contact	https://github.com/O-clock-Francfort/cines-delices/issues/110	vincentduverger-dev	Done			Front	2026-03-19T08:01:00Z
Refacto de la page contact	https://github.com/O-clock-Francfort/cines-delices/issues/108	vincentduverger-dev	Done			Front	2026-03-19T07:25:54Z
Formulaire connexion/inscription	https://github.com/O-clock-Francfort/cines-delices/issues/87	oriannejaunet	Done				2026-03-18T08:28:47Z
refactoring connexion header	https://github.com/O-clock-Francfort/cines-delices/issues/114	vincentduverger-dev	Done	https://github.com/O-clock-Francfort/cines-delices/pull/115		Front	2026-03-19T09:14:10Z
Afficher les messages d'erreur API (champ manquant, non autorisé), message de succès après création	https://github.com/O-clock-Francfort/cines-delices/issues/80	oriannejaunet	Done				2026-03-17T12:53:13Z
Ajouter filtres catégorie dans le catalogue	https://github.com/O-clock-Francfort/cines-delices/issues/48	vincentduverger-dev	Done			Front	2026-03-16T07:24:33Z
Auth Controller/Middlewares d'authentification/Routes Auth/Validators/Express	https://github.com/O-clock-Francfort/cines-delices/issues/18	Nathalie-Leduc	Done			Back	2026-03-13T15:14:49Z
changement suite meeting	https://github.com/O-clock-Francfort/cines-delices/issues/89	oriannejaunet	Done				2026-03-18T09:02:38Z
Créer la carte recette (RecipeCard)	https://github.com/O-clock-Francfort/cines-delices/issues/44	vincentduverger-dev	Done			Front	2026-03-16T07:23:10Z
Ajouter le champ input et écouter la saisie utilisateur	https://github.com/O-clock-Francfort/cines-delices/issues/34	emilie-va	Done				2026-03-15T08:27:49Z
Créer le composant de recherche média	https://github.com/O-clock-Francfort/cines-delices/issues/33	emilie-va	Done				2026-03-15T08:27:34Z
Page mentions légales	https://github.com/O-clock-Francfort/cines-delices/issues/77	oriannejaunet	Done				2026-03-17T11:50:08Z
